asktug: 2024-11-18 17:40:07,096 | DEBUG | asktug.py:41 | 982 >>> Got topics, ids of topics: 2442, 95048, 92880, 182964, 996014, 1333, 2206, 1049, 182797, 1359, 273922, 93058, 693753, 33210, 2646, 304287, 34779, 68540, 122940, 34741, 37057, 212957, 420, 1016, 243043, 35220, 35495, 274430, 34548, 93741, 603676, 2300, 2040, 67846, 69551, 2588, 153128, 1915, 1827, 34150, 93604, 2047, 35987, 93784, 2337, 183410, 302989, 303956, 36202, 69179, 35600, 894, 70060, 275188, 35482, 67076, 36083, 37164, 32938, 36376, 93099, 94871, 35995, 34534, 726, 35011, 628, 34550, 34448, 34137, 1404, 36869, 35918, 63192, 92984, 1439, 35373, 69039, 1601, 873, 93009, 34176, 272874, 153284, 2736, 2404, 2546, 2400, 33468, 34283, 694755, 35032, 68953, 903494, 665857, 34492, 212965, 35793, 95825, 68252
asktug: 2024-11-18 17:40:07,097 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 2442
asktug: 2024-11-18 17:40:09,364 | INFO | asktug.py:48 | 982 >>> Got accept answer of topic: 2442, post: 10297
asktug: 2024-11-18 17:40:09,364 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 95048
asktug: 2024-11-18 17:40:11,683 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 92880
asktug: 2024-11-18 17:40:13,909 | INFO | asktug.py:48 | 982 >>> Got accept answer of topic: 92880, post: 103375
asktug: 2024-11-18 17:40:13,909 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 182964
asktug: 2024-11-18 17:40:16,177 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 996014
asktug: 2024-11-18 17:40:18,418 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 1333
asktug: 2024-11-18 17:40:20,912 | INFO | asktug.py:48 | 982 >>> Got accept answer of topic: 1333, post: 4182
asktug: 2024-11-18 17:40:20,913 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 2206
asktug: 2024-11-18 17:40:23,122 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 1049
asktug: 2024-11-18 17:40:25,622 | INFO | asktug.py:48 | 982 >>> Got accept answer of topic: 1049, post: 2617
asktug: 2024-11-18 17:40:25,623 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 182797
asktug: 2024-11-18 17:40:27,832 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 1359
asktug: 2024-11-18 17:40:29,994 | INFO | asktug.py:48 | 982 >>> Got accept answer of topic: 1359, post: 3946
asktug: 2024-11-18 17:40:29,994 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 273922
asktug: 2024-11-18 17:40:32,169 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 93058
asktug: 2024-11-18 17:40:34,383 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 693753
asktug: 2024-11-18 17:40:36,510 | INFO | asktug.py:48 | 982 >>> Got accept answer of topic: 693753, post: 705289
asktug: 2024-11-18 17:40:36,511 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 33210
asktug: 2024-11-18 17:40:38,802 | INFO | asktug.py:79 | 982 >>> Start to get accept answer, topic id: 2646
